Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:25:12	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-108.824E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:24:49	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
3.2941174E-9	71.980283E-3	-18.948261E-3	65.827436E-9	-26.320379E+0	2.7205851E+0	83.621529E+0	13.440104E-12	-124.71603E+0
3.1764706E-9	71.419783E-3	-2.0450847E-3	65.856881E-9	-28.373312E+0	2.7082663E+0	-28.388460E+0	18.315544E-12	-172.09286E+0
3.0588234E-9	71.301267E-3	-16.491354E-3	65.857151E-9	-31.746187E+0	2.6841354E+0	-30.214304E+0	17.429240E-12	-174.94051E+0
2.9411762E-9	71.521506E-3	-6.7600422E-3	65.871077E-9	-25.059473E+0	2.6494994E+0	-46.668732E+0	23.875816E-12	-205.73140E+0
2.8235294E-9	71.576945E-3	-9.6853822E-3	65.889694E-9	-28.306122E+0	2.6234217E+0	31.921524E+0	14.078404E-12	-122.74106E+0
2.7058822E-9	70.911154E-3	-20.108663E-3	65.949180E-9	-30.163694E+0	2.6062806E+0	-71.146667E+0	18.780632E-12	-228.56438E+0
2.5882354E-9	72.753400E-3	-2.2092876E-3	65.979940E-9	-26.672869E+0	2.5820079E+0	10.494981E+0	19.905905E-12	-141.84259E+0
2.4705882E-9	71.687318E-3	-14.043263E-3	65.955625E-9	-31.832682E+0	2.5627604E+0	-24.812380E+0	30.130714E-12	-187.87953E+0
2.3529410E-9	71.605429E-3	-27.280053E-3	66.041402E-9	-31.423296E+0	2.5474119E+0	-76.092102E+0	25.465609E-12	-212.14090E+0
2.2352937E-9	71.800232E-3	-3.7513350E-3	66.003352E-9	-26.579765E+0	2.5187118E+0	-49.503788E+0	28.032575E-12	-194.30788E+0
2.1176474E-9	72.289534E-3	-34.404203E-3	66.000844E-9	-32.659008E+0	2.4886556E+0	-70.133247E+0	11.479473E-12	-178.31117E+0
2.0000002E-9	71.889751E-3	-3.7972508E-3	66.072822E-9	-29.551559E+0	2.4677057E+0	-3.8032424E+0	30.495061E-12	-185.47632E+0
1.8823529E-9	72.344460E-3	-21.209968E-3	66.057140E-9	-30.168867E+0	2.4477432E+0	19.977095E+0	29.774801E-12	-107.35199E+0
1.7647057E-9	72.249353E-3	-32.493349E-3	66.104889E-9	-32.702568E+0	2.4236195E+0	35.082104E+0	14.664953E-12	-140.14777E+0
1.6470585E-9	71.956381E-3	9.1965655E-3	66.118311E-9	-28.481516E+0	2.4090137E+0	-21.896372E+0	28.442223E-12	-206.08311E+0
1.5294122E-9	72.421774E-3	-43.647606E-3	66.144167E-9	-27.063757E+0	2.3947053E+0	-17.497240E+0	23.343530E-12	-144.73918E+0
1.4117649E-9	72.276816E-3	642.33522E-6	66.110566E-9	-31.830395E+0	2.3610334E+0	-74.515388E+0	25.376127E-12	-199.33067E+0
1.2941177E-9	71.782939E-3	-43.633509E-3	66.135840E-9	-29.235025E+0	2.3336415E+0	-235.73875E-3	28.945971E-12	-132.89091E+0
1.1764705E-9	72.639465E-3	-5.1214830E-3	66.182231E-9	-30.043310E+0	2.3107269E+0	35.347309E+0	16.110856E-12	-88.161797E+0
1.0588233E-9	72.748311E-3	-41.725397E-3	66.181876E-9	-33.996655E+0	2.2905400E+0	-73.525177E+0	15.466061E-12	-192.08299E+0
941.17603E-12	72.962441E-3	-17.280268E-3	66.206901E-9	-29.155275E+0	2.2713075E+0	-32.089363E+0	22.404757E-12	-189.17679E+0
823.52969E-12	73.440045E-3	-38.103104E-3	66.187596E-9	-31.282131E+0	2.2427342E+0	-10.262349E+0	29.127256E-12	-166.45337E+0
705.88246E-12	73.489890E-3	-37.994549E-3	66.196236E-9	-36.224224E+0	2.2229443E+0	-50.052132E+0	20.898915E-12	-199.08604E+0
588.23524E-12	73.588558E-3	-36.318421E-3	66.232559E-9	-31.061110E+0	2.1934073E+0	11.043626E+0	14.969644E-12	-137.10866E+0
470.58801E-12	73.450729E-3	-33.303864E-3	66.200940E-9	-35.602657E+0	2.1652334E+0	-52.371971E+0	20.202468E-12	-186.82506E+0
352.94079E-12	74.863181E-3	-57.196170E-3	66.261443E-9	-34.485867E+0	2.1424453E+0	39.445721E+0	33.886102E-12	-111.02927E+0
235.29445E-12	72.926328E-3	-8.0346726E-3	66.233319E-9	-30.693869E+0	2.1268504E+0	-46.029087E+0	19.587195E-12	-148.93140E+0
117.64723E-12	73.155217E-3	-73.638290E-3	66.267816E-9	-34.711342E+0	2.1083424E+0	-7.7647166E+0	19.544664E-12	-170.14307E+0
0.0000000E+0	72.672524E-3	-7.5172228E-3	66.292031E-9	-35.138592E+0	2.0752919E+0	-100.38678E+0	29.809780E-12	-214.50436E+0
-117.64723E-12	75.300597E-3	-54.312076E-3	66.141951E-9	-30.518322E+0	2.0512431E+0	-17.554308E+0	20.303995E-12	-151.80135E+0
-235.29445E-12	77.164717E-3	-26.857892E-3	65.931033E-9	-35.707947E+0	2.0231044E+0	-23.330315E+0	43.565002E-12	-212.90793E+0
-352.94168E-12	80.394998E-3	-115.65903E-3	65.629777E-9	-41.397896E+0	1.9937739E+0	-41.734348E+0	20.757224E-12	-145.51105E+0
-470.58801E-12	84.646098E-3	-224.60313E-3	65.231440E-9	-50.283989E+0	1.9689250E+0	-54.930717E+0	19.056201E-12	-173.04494E+0
-588.23524E-12	89.103699E-3	-410.62698E-3	64.605956E-9	-73.456978E+0	1.9571223E+0	-466.49954E-3	30.518876E-12	-159.37117E+0
-705.88246E-12	89.905292E-3	-450.75616E-3	63.958993E-9	-79.113670E+0	1.9362763E+0	-44.954803E+0	28.222169E-12	-161.59830E+0
-823.52969E-12	93.731694E-3	-562.14607E-3	63.149741E-9	-89.945587E+0	1.9089651E+0	19.270828E+0	22.218947E-12	-116.72470E+0
-941.17691E-12	99.766538E-3	-849.27344E-3	62.121032E-9	-119.33310E+0	1.8881652E+0	-6.4705825E+0	27.919278E-12	-218.45160E+0
-1.0588233E-9	102.05638E-3	-941.64050E-3	60.770731E-9	-136.27310E+0	1.8554698E+0	-15.297751E+0	7.5499841E-12	-159.83727E+0
-1.1764705E-9	96.124269E-3	-725.41344E-3	59.543638E-9	-110.43603E+0	1.8167648E+0	-84.719231E+0	16.927421E-12	-209.97763E+0
-1.2941177E-9	93.686424E-3	-589.76567E-3	58.523213E-9	-104.46993E+0	1.8000340E+0	-23.047506E+0	23.197302E-12	-186.27576E+0
-1.4117649E-9	95.823161E-3	-615.05175E-3	57.309443E-9	-107.40295E+0	1.7919413E+0	-5.2108593E+0	39.309042E-12	-153.91904E+0
-1.5294122E-9	95.009364E-3	-537.03773E-3	55.918239E-9	-101.01196E+0	1.7640421E+0	-56.998482E+0	21.691961E-12	-187.74965E+0
-1.6470585E-9	94.427489E-3	-517.82888E-3	54.439326E-9	-100.20310E+0	1.7366120E+0	-69.266571E+0	33.092053E-12	-163.33563E+0
-1.7647057E-9	95.796712E-3	-560.98306E-3	52.722058E-9	-110.33996E+0	1.7232224E+0	-36.718338E+0	29.206512E-12	-205.68800E+0
-1.8823529E-9	99.450178E-3	-623.06738E-3	50.559805E-9	-121.63158E+0	1.6947931E+0	-91.635002E+0	11.696469E-12	-187.79730E+0
-2.0000002E-9	102.62807E-3	-745.77957E-3	48.292186E-9	-128.36232E+0	1.6607931E+0	13.924520E+0	15.240975E-12	-120.03062E+0
-2.1176474E-9	104.84823E-3	-795.78102E-3	45.734065E-9	-137.92215E+0	1.6405624E+0	22.360197E+0	8.5632395E-12	-133.42810E+0
-2.2352937E-9	106.14319E-3	-840.12842E-3	43.723226E-9	-142.86479E+0	1.6218038E+0	1.4716517E+0	11.991463E-12	-165.17747E+0
-2.3529410E-9	114.81577E-3	-1.2907798E+0	41.829349E-9	-179.33461E+0	1.5912949E+0	51.874588E+0	21.537435E-12	-101.79895E+0
-2.4705882E-9	122.58963E-3	-1.8568809E+0	39.715047E-9	-212.94849E+0	1.5624684E+0	51.154228E+0	17.580586E-12	-114.39159E+0
-2.5882354E-9	126.10424E-3	-2.2454858E+0	36.981653E-9	-242.88634E+0	1.5470428E+0	6.0394578E+0	20.305403E-12	-157.35541E+0
-2.7058826E-9	120.91216E-3	-1.9420079E+0	34.373720E-9	-237.84209E+0	1.5259043E+0	-50.911381E+0	26.190224E-12	-200.36708E+0
-2.8235299E-9	121.56474E-3	-2.1493993E+0	32.535159E-9	-253.90744E+0	1.5016251E+0	-19.137890E+0	31.010128E-12	-181.30956E+0
-2.9411762E-9	126.60369E-3	-2.4511452E+0	30.409556E-9	-270.97064E+0	1.4853241E+0	97.182480E+0	16.636156E-12	-99.257721E+0
-3.0588234E-9	126.41551E-3	-2.9199026E+0	27.727307E-9	-287.26508E+0	1.4598283E+0	-1.1244882E+0	19.107171E-12	-154.65004E+0
-3.1764706E-9	125.66222E-3	-2.9820478E+0	25.085471E-9	-291.83698E+0	1.4254013E+0	-18.727844E+0	23.522198E-12	-171.58621E+0
-3.2941179E-9	121.24024E-3	-2.6535385E+0	22.729880E-9	-283.15509E+0	1.3897414E+0	-25.854357E+0	11.196170E-12	-112.18527E+0
-3.4117651E-9	115.21555E-3	-1.0113108E+0	20.596520E-9	-212.43727E+0	1.3745524E+0	-25.628807E+0	28.440984E-12	-173.95502E+0
-3.5294114E-9	116.74804E-3	-1.6457191E+0	18.649438E-9	-248.05411E+0	1.3553604E+0	-61.223866E+0	19.748061E-12	-191.30769E+0
-3.6470587E-9	126.26547E-3	-3.9331021E+0	16.172651E-9	-304.93307E+0	1.3265671E+0	-38.223480E+0	22.097532E-12	-189.54195E+0
-3.7647059E-9	137.93436E-3	-5.7320929E+0	13.182542E-9	-305.17578E+0	1.3028971E+0	-97.134590E-3	14.568530E-12	-130.42462E+0
-3.8823531E-9	175.62611E-3	-6.1142850E+0	9.0424832E-9	-305.17578E+0	1.2769582E+0	93.142387E+0	15.493148E-12	-107.00740E+0
-4.0000003E-9	231.81814E-3	4.2707129E+0	4.3558024E-9	-121.56956E+0	1.2523330E+0	-20.480637E+0	25.044543E-12	-179.64153E+0
-4.1176476E-9	292.37264E-3	52.142075E+0	1.3621171E-9	241.40620E+0	1.2186722E+0	-46.717655E+0	21.774388E-12	-172.85640E+0
-4.2352939E-9	322.98636E-3	46.351631E+0	586.95077E-12	305.17578E+0	1.1996410E+0	-73.285500E+0	29.768955E-12	-239.83592E+0
-4.3529411E-9	344.20317E-3	61.866859E+0	640.82084E-12	305.17578E+0	1.1760244E+0	-11.114301E+0	25.793876E-12	-140.23073E+0
