Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:33:29	
User		
Date		
X (m)	5.06156E-6	
Y (m)	-1.36687E-6	
Z (m)	-59.6553E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:32:54	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
3.9216280E-3	40.897728E-9	-39.213261E+0	41.427967E-9	-39.876144E+0
11.764765E-3	40.904670E-9	-39.468254E+0	41.440376E-9	-40.800816E+0
19.607902E-3	40.911520E-9	-38.588440E+0	41.446810E-9	-40.240860E+0
27.451038E-3	40.923396E-9	-38.253582E+0	41.453006E-9	-39.078285E+0
35.294175E-3	40.936428E-9	-38.938545E+0	41.454740E-9	-39.956989E+0
43.137312E-3	40.943238E-9	-38.634460E+0	41.467640E-9	-39.930264E+0
50.980449E-3	40.950205E-9	-38.275658E+0	41.474532E-9	-39.574608E+0
58.823586E-3	40.957829E-9	-38.357910E+0	41.475325E-9	-38.112400E+0
66.666722E-3	40.968036E-9	-38.997372E+0	41.472713E-9	-39.045353E+0
74.509859E-3	40.967969E-9	-38.778996E+0	41.471782E-9	-38.347946E+0
82.352996E-3	40.979597E-9	-37.140041E+0	41.476159E-9	-37.659313E+0
90.196133E-3	40.991242E-9	-37.707050E+0	41.471061E-9	-38.190224E+0
98.039269E-3	41.006039E-9	-37.484489E+0	41.467874E-9	-38.137020E+0
105.88241E-3	41.011283E-9	-37.538681E+0	41.467466E-9	-37.326458E+0
113.72554E-3	41.016907E-9	-37.103584E+0	41.462570E-9	-37.248608E+0
121.56868E-3	41.026009E-9	-37.356937E+0	41.463508E-9	-38.064800E+0
129.41182E-3	41.039858E-9	-37.106781E+0	41.461686E-9	-38.152351E+0
137.25495E-3	41.043211E-9	-37.245495E+0	41.458133E-9	-36.946423E+0
145.09809E-3	41.050942E-9	-37.121853E+0	41.467015E-9	-37.684238E+0
152.94123E-3	41.056779E-9	-37.291187E+0	41.471921E-9	-37.992458E+0
160.78436E-3	41.068205E-9	-36.280552E+0	41.471665E-9	-37.439026E+0
168.62750E-3	41.069043E-9	-36.791851E+0	41.470290E-9	-36.700451E+0
176.47064E-3	41.078948E-9	-37.059464E+0	41.472394E-9	-37.244602E+0
184.31377E-3	41.090104E-9	-36.794147E+0	41.472763E-9	-37.717636E+0
192.15691E-3	41.099206E-9	-35.472797E+0	41.466489E-9	-36.747597E+0
200.00005E-3	41.105213E-9	-36.007416E+0	41.464705E-9	-37.203575E+0
207.84318E-3	41.115577E-9	-36.875763E+0	41.469342E-9	-37.554371E+0
215.68632E-3	41.124498E-9	-36.253716E+0	41.472610E-9	-37.006344E+0
223.52946E-3	41.128196E-9	-35.997272E+0	41.474316E-9	-36.919758E+0
231.37259E-3	41.132477E-9	-36.688198E+0	41.480273E-9	-37.063507E+0
239.21573E-3	41.135447E-9	-36.699638E+0	41.485354E-9	-37.741779E+0
247.05887E-3	41.145377E-9	-35.941494E+0	41.491905E-9	-35.940517E+0
254.90201E-3	41.149207E-9	-36.216778E+0	41.482458E-9	-35.893917E+0
262.74514E-3	41.151768E-9	-36.348301E+0	41.487223E-9	-37.094143E+0
270.58828E-3	41.151189E-9	-35.673595E+0	41.492765E-9	-36.354111E+0
278.43142E-3	41.159673E-9	-35.024624E+0	41.493092E-9	-35.806381E+0
286.27455E-3	41.170157E-9	-35.874393E+0	41.489375E-9	-36.453217E+0
294.11769E-3	41.171521E-9	-35.715034E+0	41.490662E-9	-36.792084E+0
301.96083E-3	41.176317E-9	-35.011597E+0	41.500844E-9	-36.355907E+0
309.80396E-3	41.186542E-9	-35.104752E+0	41.506844E-9	-35.667755E+0
317.64710E-3	41.196422E-9	-35.608479E+0	41.512241E-9	-36.010586E+0
325.49024E-3	41.197360E-9	-35.596809E+0	41.515463E-9	-36.733727E+0
333.33337E-3	41.198710E-9	-34.566200E+0	41.524437E-9	-35.107239E+0
341.17651E-3	41.208629E-9	-34.697067E+0	41.529752E-9	-36.659412E+0
