Experiment	bias spectroscopy	
Saved Date	06.11.2019 10:19:41	
User		
Date		
X (m)	-3.0725E-6	
Y (m)	3.07822E-6	
Z (m)	-313.111E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	06.11.2019 10:19:09	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC M1 Freq. Shift (Hz)	OC M1 Freq. Shift [bwd] (Hz)
670.58837E-3	-16.458096E+0	-15.999793E+0
678.43151E-3	-15.839876E+0	-15.868428E+0
686.27465E-3	-15.208011E+0	-15.302670E+0
694.11778E-3	-15.991513E+0	-15.823346E+0
701.96092E-3	-16.787241E+0	-16.123631E+0
709.80406E-3	-16.375704E+0	-16.101658E+0
717.64719E-3	-16.306421E+0	-16.008520E+0
725.49033E-3	-15.913766E+0	-15.466068E+0
733.33347E-3	-16.690685E+0	-16.409571E+0
741.17661E-3	-16.424566E+0	-16.558603E+0
749.01974E-3	-16.501040E+0	-15.934371E+0
756.86288E-3	-17.230206E+0	-16.698828E+0
764.70602E-3	-16.691896E+0	-16.340910E+0
772.54915E-3	-17.159611E+0	-16.890867E+0
780.39229E-3	-17.181271E+0	-16.612236E+0
788.23543E-3	-17.800671E+0	-16.846081E+0
796.07856E-3	-17.172697E+0	-16.863306E+0
803.92170E-3	-17.310217E+0	-16.522129E+0
811.76484E-3	-17.632490E+0	-17.228537E+0
819.60797E-3	-18.157518E+0	-17.621782E+0
827.45111E-3	-17.277756E+0	-17.343029E+0
835.29425E-3	-17.346378E+0	-17.094854E+0
843.13738E-3	-17.894413E+0	-17.598566E+0
850.98052E-3	-18.359972E+0	-17.845507E+0
858.82366E-3	-18.373478E+0	-17.787508E+0
866.66679E-3	-17.868486E+0	-17.157806E+0
874.50993E-3	-18.993086E+0	-18.222460E+0
882.35307E-3	-18.826748E+0	-18.476822E+0
890.19620E-3	-18.913046E+0	-18.117226E+0
898.03934E-3	-18.431978E+0	-18.098885E+0
905.88248E-3	-18.593945E+0	-18.263165E+0
913.72561E-3	-18.929754E+0	-18.806364E+0
921.56875E-3	-18.833269E+0	-18.210314E+0
929.41189E-3	-19.487858E+0	-18.779434E+0
937.25502E-3	-19.132854E+0	-19.086723E+0
945.09816E-3	-19.016712E+0	-18.775967E+0
952.94130E-3	-19.593439E+0	-19.136120E+0
960.78444E-3	-19.633909E+0	-19.661400E+0
968.62757E-3	-19.204258E+0	-19.831326E+0
976.47071E-3	-19.184343E+0	-19.684429E+0
984.31385E-3	-19.272396E+0	-19.348000E+0
992.15698E-3	-20.214697E+0	-20.472145E+0
1.0000000E+0	-19.927639E+0	-20.047812E+0
