Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:24:04	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-107.146E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:23:53	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
4.4705883E-9	70.511885E-3	15.066065E-3	87.197670E-9	-27.258583E+0	3.1532822E+0	-15.973647E+0	19.848800E-12	-158.05707E+0
4.3529411E-9	69.492087E-3	-32.681722E-3	87.290417E-9	-31.280006E+0	3.1249745E+0	3.4593067E+0	24.252971E-12	-136.42003E+0
4.2352939E-9	68.995662E-3	39.793227E-3	87.335359E-9	-24.975857E+0	3.1123521E+0	-39.938797E+0	28.983147E-12	-200.44272E+0
4.1176471E-9	70.401505E-3	-42.827126E-3	87.380364E-9	-28.305830E+0	3.0910430E+0	38.046963E+0	20.757535E-12	-155.91504E+0
3.9999999E-9	70.196532E-3	20.479439E-3	87.429356E-9	-28.461061E+0	3.0736592E+0	57.157711E+0	22.528562E-12	-148.05322E+0
3.8823531E-9	69.493100E-3	-14.429675E-3	87.423174E-9	-24.811779E+0	3.0617204E+0	-15.234322E+0	26.012808E-12	-159.53793E+0
3.7647059E-9	69.716386E-3	-1.1584644E-3	87.477467E-9	-28.272373E+0	3.0341506E+0	-19.177258E+0	23.485746E-12	-136.80807E+0
3.6470587E-9	69.579571E-3	-6.3614831E-3	87.479776E-9	-29.796429E+0	2.9924860E+0	-54.798290E+0	22.352776E-12	-171.93800E+0
3.5294119E-9	69.905601E-3	-4.1661425E-3	87.592852E-9	-25.327671E+0	2.9722962E+0	-7.2738633E+0	16.146976E-12	-120.85375E+0
3.4117646E-9	70.226543E-3	-9.7564086E-3	87.639641E-9	-28.153891E+0	2.9623246E+0	-59.908909E+0	30.755391E-12	-160.44017E+0
3.2941174E-9	70.261128E-3	-9.5291622E-3	87.668390E-9	-28.937410E+0	2.9390552E+0	-59.442253E+0	25.294222E-12	-205.75592E+0
3.1764706E-9	70.130415E-3	-6.3324058E-3	87.737568E-9	-26.083733E+0	2.9150219E+0	44.555763E+0	24.497354E-12	-125.64246E+0
3.0588234E-9	69.213867E-3	-4.1055800E-3	87.725766E-9	-31.839954E+0	2.8971965E+0	639.46629E-3	7.5277519E-12	-138.47610E+0
2.9411762E-9	69.743343E-3	-20.881042E-3	87.761528E-9	-29.514595E+0	2.8739696E+0	-35.635281E+0	22.562027E-12	-181.36923E+0
2.8235294E-9	70.370488E-3	7.0713125E-3	87.800437E-9	-26.158154E+0	2.8445294E+0	-22.889339E+0	14.116290E-12	-177.23866E+0
2.7058822E-9	69.343559E-3	-39.927691E-3	87.827658E-9	-32.885574E+0	2.8243041E+0	-2.7287891E+0	35.120004E-12	-193.93312E+0
2.5882354E-9	70.140585E-3	5.7978616E-3	87.874731E-9	-27.489378E+0	2.8122797E+0	-57.646542E+0	28.915061E-12	-202.01617E+0
2.4705882E-9	70.540875E-3	-13.412810E-3	87.883933E-9	-28.986429E+0	2.7870126E+0	-58.162258E+0	17.715201E-12	-194.27097E+0
2.3529410E-9	70.156351E-3	-23.285558E-3	87.953744E-9	-31.192736E+0	2.7650623E+0	-40.302921E+0	21.442303E-12	-195.07368E+0
2.2352937E-9	71.074419E-3	3.6631601E-3	87.948045E-9	-27.681925E+0	2.7498693E+0	-31.886133E+0	21.742056E-12	-174.10475E+0
2.1176474E-9	71.435548E-3	-43.973200E-3	88.031733E-9	-27.641172E+0	2.7152364E+0	60.809185E+0	16.519655E-12	-143.88493E+0
2.0000002E-9	71.694441E-3	-3.2458797E-3	88.031946E-9	-31.229355E+0	2.6832414E+0	5.4722023E+0	18.647419E-12	-187.22670E+0
1.8823529E-9	71.858726E-3	-29.505678E-3	88.023633E-9	-27.028685E+0	2.6819458E+0	-3.4598303E+0	9.9534738E-12	-153.43068E+0
1.7647057E-9	71.040347E-3	-10.028154E-3	88.095199E-9	-29.827707E+0	2.6622696E+0	26.282585E+0	28.118398E-12	-139.30957E+0
1.6470585E-9	70.389301E-3	-24.256146E-3	88.079375E-9	-32.071438E+0	2.6304307E+0	-83.831352E+0	27.190477E-12	-222.87939E+0
1.5294122E-9	70.903018E-3	-14.412161E-3	88.131735E-9	-27.937902E+0	2.6017900E+0	-60.960182E+0	17.207522E-12	-195.70395E+0
1.4117649E-9	70.629373E-3	-24.653085E-3	88.119762E-9	-30.380268E+0	2.5852966E+0	104.24371E+0	19.631234E-12	-158.09447E+0
1.2941177E-9	70.776366E-3	-21.039747E-3	88.148497E-9	-33.405903E+0	2.5576601E+0	-48.560890E+0	6.9877823E-12	-144.73648E+0
1.1764705E-9	71.079507E-3	-23.603979E-3	88.207734E-9	-28.354710E+0	2.5262847E+0	-51.628918E+0	29.162100E-12	-226.55345E+0
1.0588233E-9	71.797185E-3	-11.954489E-3	88.202114E-9	-33.868649E+0	2.5065415E+0	95.397858E+0	11.885940E-12	-118.11156E+0
941.17603E-12	71.377054E-3	-61.474189E-3	88.278760E-9	-33.287773E+0	2.4865708E+0	-102.06783E+0	14.487153E-12	-195.10143E+0
823.52969E-12	72.076924E-3	4.1358569E-3	88.266980E-9	-28.635098E+0	2.4627938E+0	13.448668E+0	20.481420E-12	-114.55895E+0
705.88246E-12	72.474159E-3	-77.467874E-3	88.329585E-9	-34.582428E+0	2.4365091E+0	-36.461575E+0	25.799819E-12	-188.40533E+0
588.23524E-12	72.444662E-3	-2.5177405E-3	88.298464E-9	-32.501694E+0	2.4095800E+0	-82.145111E+0	27.470356E-12	-210.07829E+0
470.58801E-12	71.262106E-3	-66.057906E-3	88.317499E-9	-31.313839E+0	2.3822312E+0	-71.425667E+0	26.349639E-12	-224.49248E+0
352.94079E-12	72.510272E-3	-22.285182E-3	88.364025E-9	-35.404083E+0	2.3614333E+0	-35.308846E+0	22.923346E-12	-171.36284E+0
235.29445E-12	71.218364E-3	-43.159224E-3	88.367536E-9	-32.224655E+0	2.3496134E+0	-53.120735E+0	20.178578E-12	-199.03859E+0
117.64723E-12	72.393797E-3	-33.925004E-3	88.366107E-9	-30.535009E+0	2.3357890E+0	-17.431725E+0	20.870829E-12	-175.94171E+0
0.0000000E+0	78.034975E-3	-136.45367E-3	87.774531E-9	-44.349525E+0	2.2970850E+0	-42.734177E+0	20.738829E-12	-160.76006E+0
-117.64723E-12	79.951987E-3	-140.85698E-3	86.794223E-9	-45.235027E+0	2.2638452E+0	-63.363800E+0	19.958955E-12	-205.60286E+0
-235.29445E-12	81.282549E-3	-176.97877E-3	85.792678E-9	-47.890499E+0	2.2491384E+0	-105.54577E+0	21.645094E-12	-206.08516E+0
-352.94168E-12	84.725447E-3	-227.07638E-3	84.833623E-9	-57.475246E+0	2.2307291E+0	-67.006111E+0	15.734152E-12	-173.03874E+0
-470.58801E-12	88.316344E-3	-320.19812E-3	83.757293E-9	-64.558395E+0	2.1992166E+0	-37.457394E+0	30.427185E-12	-177.42648E+0
-588.23524E-12	90.358481E-3	-352.60990E-3	82.639467E-9	-67.791199E+0	2.1825297E+0	-54.688255E+0	18.904458E-12	-197.40704E+0
-705.88246E-12	94.254047E-3	-486.08640E-3	81.651116E-9	-86.464378E+0	2.1717184E+0	86.349602E+0	18.352328E-12	-91.170113E+0
-823.52969E-12	98.635353E-3	-617.56200E-3	80.459579E-9	-99.706245E+0	2.1376863E+0	-23.618544E+0	15.932578E-12	-163.90620E+0
-941.17691E-12	110.20304E-3	-967.97448E-3	78.857951E-9	-132.34039E+0	2.0972590E+0	-53.944500E+0	21.463945E-12	-180.30823E+0
-1.0588233E-9	109.75392E-3	-1.0041308E+0	76.841722E-9	-140.93701E+0	2.0850463E+0	-1.3530592E+0	17.547302E-12	-178.86745E+0
-1.1764705E-9	103.10110E-3	-725.84498E-3	74.913522E-9	-119.72820E+0	2.0699849E+0	-84.032440E+0	25.469809E-12	-229.19028E+0
-1.2941177E-9	97.698972E-3	-518.01133E-3	73.372298E-9	-96.365349E+0	2.0434468E+0	-112.95408E+0	20.033390E-12	-198.79416E+0
-1.4117649E-9	93.158469E-3	-355.26675E-3	72.120891E-9	-82.449326E+0	2.0222895E+0	-44.935905E+0	24.876276E-12	-209.80231E+0
-1.5294122E-9	92.741907E-3	-338.69269E-3	70.872957E-9	-84.705780E+0	1.9936743E+0	-22.065468E+0	26.475922E-12	-142.57141E+0
-1.6470585E-9	94.374590E-3	-368.42343E-3	69.372966E-9	-84.882057E+0	1.9549433E+0	-141.24979E+0	20.936357E-12	-163.31262E+0
-1.7647057E-9	96.313477E-3	-407.14332E-3	67.879597E-9	-92.508064E+0	1.9396403E+0	1.1206604E+0	9.9401876E-12	-155.41245E+0
-1.8823529E-9	99.953204E-3	-521.58761E-3	66.224544E-9	-106.68243E+0	1.9355607E+0	61.536236E+0	19.494939E-12	-137.40697E+0
-2.0000002E-9	102.35494E-3	-570.59813E-3	64.173101E-9	-114.58208E+0	1.9085749E+0	-56.736427E+0	26.185691E-12	-149.77600E+0
-2.1176474E-9	105.02167E-3	-641.53355E-3	61.977218E-9	-116.95056E+0	1.8682973E+0	-66.028816E+0	29.010653E-12	-254.00157E+0
-2.2352937E-9	106.06384E-3	-630.81777E-3	60.045735E-9	-122.66428E+0	1.8469173E+0	-11.995133E+0	17.584089E-12	-159.25136E+0
