Experiment	Z spectroscopy	
Saved Date	05.02.2020 13:47:10	
User		
X (m)	1.12911E-6	
Y (m)	1.00575E-6	
Z (m)	-269.562E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	35E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	05.02.2020 13:46:52	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-2.4901965E-9	158.06885E-3	4.5904001E-9	-113.04424E+0	163.25176E-3	20.453124E-12	123.03223E+0
-2.6274511E-9	158.75754E-3	4.5786090E-9	-115.08939E+0	162.54322E-3	45.103254E-12	152.58789E+0
-2.7647058E-9	157.60447E-3	4.5455413E-9	-113.12647E+0	163.31381E-3	14.839104E-12	136.27393E+0
-2.9019604E-9	158.07800E-3	4.5221262E-9	-118.87185E+0	163.72986E-3	23.516031E-12	76.100334E+0
-3.0392160E-9	158.03680E-3	4.4892672E-9	-117.52612E+0	163.43333E-3	37.567772E-12	150.55176E+0
-3.1764706E-9	158.75143E-3	4.4537307E-9	-122.78305E+0	163.06967E-3	51.743384E-12	99.958717E+0
-3.3137253E-9	158.70310E-3	4.4146189E-9	-123.89668E+0	162.77008E-3	54.148148E-12	-10.188401E+0
-3.4509808E-9	157.45544E-3	4.3888821E-9	-122.36472E+0	173.45378E-3	14.712941E-12	125.78181E+0
-3.5882355E-9	158.52611E-3	4.3502784E-9	-135.02594E+0	170.52510E-3	27.168349E-12	149.52701E+0
-3.7254901E-9	159.16188E-3	4.3135970E-9	-141.92838E+0	171.40198E-3	17.530769E-12	85.938416E+0
-3.8627448E-9	158.54797E-3	4.2772612E-9	-151.06328E+0	170.94168E-3	42.315970E-12	135.08121E+0
-4.0000003E-9	158.60850E-3	4.2484434E-9	-148.74236E+0	170.43711E-3	28.358023E-12	59.694832E+0
-4.1372550E-9	158.78449E-3	4.2130641E-9	-141.64102E+0	168.68389E-3	46.649396E-12	115.09410E+0
-4.2745096E-9	158.79822E-3	4.1750119E-9	-152.58789E+0	168.47636E-3	68.879458E-12	152.58789E+0
-4.4117652E-9	158.28553E-3	4.1274939E-9	-152.58789E+0	168.25205E-3	57.764921E-12	94.787239E+0
-4.5490198E-9	159.76614E-3	4.0845873E-9	-152.58789E+0	165.33814E-3	45.476269E-12	29.116001E+0
-4.6862745E-9	158.62732E-3	4.0329624E-9	-152.58789E+0	164.33665E-3	42.472446E-12	44.978916E+0
-4.8235291E-9	159.92585E-3	3.9844852E-9	-152.58789E+0	165.77148E-3	49.796944E-12	109.23753E+0
-4.9607847E-9	159.67204E-3	3.9304657E-9	-152.58789E+0	165.98409E-3	41.811932E-12	117.02651E+0
-5.0980384E-9	159.24734E-3	3.8737644E-9	-152.58789E+0	165.91543E-3	35.120237E-12	151.57057E+0
-5.2352940E-9	159.67916E-3	3.8210439E-9	-152.58789E+0	166.60461E-3	15.079047E-12	130.19273E+0
