Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:38:07	
User		
Date		
X (m)	5.00662E-6	
Y (m)	-1.38228E-6	
Z (m)	-79.2844E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:37:34	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
419.60788E-3	9.2334176E-9	-43.711510E+0	9.3833075E-9	-37.838303E+0
427.45101E-3	9.2386943E-9	-39.585346E+0	9.3794137E-9	-41.813492E+0
435.29415E-3	9.2434531E-9	-41.027843E+0	9.3793799E-9	-36.418427E+0
443.13729E-3	9.2432160E-9	-40.057400E+0	9.3816306E-9	-40.494343E+0
450.98042E-3	9.2430934E-9	-41.307793E+0	9.3832311E-9	-41.677429E+0
458.82356E-3	9.2493613E-9	-42.206951E+0	9.3799342E-9	-37.712288E+0
466.66670E-3	9.2514290E-9	-41.972176E+0	9.3708064E-9	-37.638798E+0
474.50984E-3	9.2549639E-9	-39.536690E+0	9.3734718E-9	-39.154190E+0
482.35297E-3	9.2551851E-9	-33.217930E+0	9.3673043E-9	-39.235374E+0
490.19611E-3	9.2627239E-9	-34.650047E+0	9.3697192E-9	-42.375725E+0
498.03925E-3	9.2633243E-9	-36.206165E+0	9.3646770E-9	-39.445244E+0
505.88250E-3	9.2606980E-9	-37.282509E+0	9.3658237E-9	-42.762062E+0
513.72564E-3	9.2695398E-9	-39.184174E+0	9.3651993E-9	-40.148064E+0
521.56878E-3	9.2712833E-9	-41.240719E+0	9.3654657E-9	-39.589340E+0
529.41191E-3	9.2695487E-9	-42.028275E+0	9.3725374E-9	-46.099323E+0
537.25505E-3	9.2712220E-9	-41.043980E+0	9.3678088E-9	-39.802475E+0
545.09819E-3	9.2765307E-9	-40.379292E+0	9.3715720E-9	-40.954754E+0
552.94132E-3	9.2770023E-9	-40.530773E+0	9.3698054E-9	-39.623508E+0
560.78446E-3	9.2832071E-9	-41.450508E+0	9.3711012E-9	-40.089794E+0
568.62760E-3	9.2875130E-9	-43.636398E+0	9.3702814E-9	-40.522266E+0
576.47073E-3	9.2931822E-9	-41.429424E+0	9.3721928E-9	-38.787567E+0
584.31387E-3	9.2960137E-9	-42.923996E+0	9.3708667E-9	-34.263836E+0
592.15701E-3	9.2941992E-9	-39.147926E+0	9.3762118E-9	-33.485302E+0
600.00014E-3	9.3001793E-9	-43.539883E+0	9.3750847E-9	-41.788334E+0
607.84328E-3	9.3030401E-9	-39.410736E+0	9.3776480E-9	-37.204987E+0
615.68642E-3	9.3033359E-9	-38.713280E+0	9.3836272E-9	-36.459805E+0
623.52955E-3	9.3059684E-9	-40.352863E+0	9.3816075E-9	-36.791763E+0
631.37269E-3	9.3116830E-9	-39.736515E+0	9.3811838E-9	-40.980583E+0
639.21583E-3	9.3107557E-9	-38.130619E+0	9.3752890E-9	-41.711884E+0
647.05896E-3	9.3123580E-9	-39.684189E+0	9.3765014E-9	-41.845203E+0
654.90210E-3	9.3138119E-9	-40.398796E+0	9.3751416E-9	-42.494247E+0
662.74524E-3	9.3136467E-9	-42.169598E+0	9.3766710E-9	-42.373547E+0
670.58837E-3	9.3099137E-9	-40.699814E+0	9.3744985E-9	-41.381458E+0
678.43151E-3	9.3130446E-9	-37.779167E+0	9.3709955E-9	-35.792297E+0
686.27465E-3	9.3109156E-9	-42.315857E+0	9.3706092E-9	-38.850491E+0
694.11778E-3	9.3181995E-9	-40.153133E+0	9.3671249E-9	-40.365299E+0
701.96092E-3	9.3203179E-9	-42.792355E+0	9.3658796E-9	-41.087467E+0
709.80406E-3	9.3222061E-9	-36.725685E+0	9.3656780E-9	-40.283909E+0
717.64719E-3	9.3185282E-9	-41.351608E+0	9.3665538E-9	-44.268871E+0
725.49033E-3	9.3226387E-9	-42.849571E+0	9.3626795E-9	-42.195351E+0
733.33347E-3	9.3231902E-9	-41.986427E+0	9.3660164E-9	-42.922977E+0
741.17661E-3	9.3266443E-9	-42.621822E+0	9.3646815E-9	-39.789173E+0
749.01974E-3	9.3283949E-9	-39.122211E+0	9.3614352E-9	-42.433231E+0
756.86288E-3	9.3253316E-9	-43.608086E+0	9.3601118E-9	-41.537083E+0
764.70602E-3	9.3264187E-9	-40.294697E+0	9.3556665E-9	-41.510456E+0
772.54915E-3	9.3287253E-9	-41.087425E+0	9.3534096E-9	-40.499130E+0
780.39229E-3	9.3340109E-9	-42.765316E+0	9.3544221E-9	-42.008858E+0
788.23543E-3	9.3379198E-9	-41.754333E+0	9.3515560E-9	-41.073677E+0
796.07856E-3	9.3372918E-9	-47.244980E+0	9.3579384E-9	-43.700008E+0
803.92170E-3	9.3363015E-9	-38.787525E+0	9.3560093E-9	-40.873253E+0
811.76484E-3	9.3401535E-9	-45.057133E+0	9.3537995E-9	-41.950890E+0
819.60797E-3	9.3404164E-9	-40.524841E+0	9.3542587E-9	-43.096706E+0
