Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:22:35	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-98.1261E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:21:39	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-4.8235291E-9	115.67280E-3	-1.0630718E+0	40.638138E-9	-190.74091E+0	1.6079829E+0	-37.320881E+0	21.314618E-12	-196.95549E+0
-4.9411772E-9	111.81691E-3	-852.44006E-3	38.916646E-9	-178.67485E+0	1.5848597E+0	-34.293354E+0	36.537114E-12	-195.15027E+0
-5.0588236E-9	112.93894E-3	-716.97342E-3	36.893368E-9	-173.63292E+0	1.5434748E+0	60.053577E+0	18.804305E-12	-133.09180E+0
-5.1764699E-9	110.85663E-3	-660.62170E-3	34.426645E-9	-164.99872E+0	1.5218613E+0	-71.624222E+0	29.396430E-12	-189.03775E+0
-5.2941180E-9	112.50000E-3	-469.03598E-3	31.625309E-9	-155.74835E+0	1.5171000E+0	-45.007694E+0	24.935871E-12	-190.41858E+0
-5.4117644E-9	111.93899E-3	-294.80392E-3	29.345676E-9	-143.54295E+0	1.4877595E+0	-15.301475E+0	20.861301E-12	-182.53331E+0
-5.5294125E-9	120.34556E-3	-624.94129E-3	27.478206E-9	-168.26120E+0	1.4531066E+0	-104.77770E+0	18.899231E-12	-197.68394E+0
-5.6470588E-9	130.35533E-3	-829.62817E-3	24.920871E-9	-184.16080E+0	1.4338816E+0	-58.978325E+0	16.591886E-12	-145.47342E+0
-5.7647052E-9	141.22772E-3	-1.1685508E+0	21.985041E-9	-202.69487E+0	1.4101975E+0	18.284836E+0	12.185872E-12	-128.13043E+0
-5.8823533E-9	145.54495E-3	-1.1364408E+0	18.900593E-9	-207.43669E+0	1.3798604E+0	-45.693302E+0	21.619873E-12	-206.06868E+0
-5.9999996E-9	162.28232E-3	-1.4678725E+0	15.805954E-9	-232.56969E+0	1.3560953E+0	48.842842E+0	20.631516E-12	-188.68851E+0
-6.1176477E-9	180.51249E-3	-880.89073E-3	11.934624E-9	-204.88324E+0	1.3407990E+0	-49.908443E+0	26.601481E-12	-200.27942E+0
-6.2352941E-9	182.44781E-3	215.64680E-3	8.1968130E-9	-116.19169E+0	1.3161438E+0	-87.297531E+0	16.286836E-12	-173.89946E+0
-6.3529404E-9	171.04951E-3	1.4299896E+0	6.4587051E-9	2.1062448E+0	1.2891397E+0	46.884296E+0	20.049379E-12	-150.18066E+0
-6.4705885E-9	180.25462E-3	2.6488175E+0	4.7982773E-9	87.450134E+0	1.2761973E+0	-22.060896E+0	16.454015E-12	-171.71170E+0
-6.5882348E-9	205.20325E-3	13.559123E+0	3.3746246E-9	193.72354E+0	1.2622517E+0	-28.905502E+0	38.539304E-12	-215.83707E+0
-6.7058830E-9	260.48127E-3	56.937691E+0	1.8492188E-9	290.37985E+0	1.2337464E+0	-35.689716E+0	20.760026E-12	-169.82573E+0
-6.8235293E-9	321.32262E-3	81.417419E+0	323.43833E-12	305.17578E+0	1.1984681E+0	-97.934532E+0	19.788860E-12	-186.25716E+0
