Experiment	bias spectroscopy	
Saved Date	07.11.2019 11:27:29	
User		
Date		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-103.169E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 11:27:02	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-309.80390E-3	19.604780E-9	-49.638191E+0	20.163267E-9	-47.180080E+0
-301.96077E-3	19.608519E-9	-49.191280E+0	20.161197E-9	-48.374779E+0
-294.11763E-3	19.615278E-9	-48.949409E+0	20.163164E-9	-49.208157E+0
-286.27449E-3	19.621176E-9	-48.077198E+0	20.167647E-9	-48.421242E+0
-278.43136E-3	19.623135E-9	-47.865696E+0	20.171562E-9	-47.253185E+0
-270.58822E-3	19.634333E-9	-47.787315E+0	20.175637E-9	-48.147976E+0
-262.74508E-3	19.639584E-9	-47.457317E+0	20.177119E-9	-47.947437E+0
-254.90195E-3	19.646892E-9	-47.004963E+0	20.181021E-9	-47.175812E+0
-247.05875E-3	19.650207E-9	-46.685143E+0	20.186949E-9	-47.273769E+0
-239.21561E-3	19.658577E-9	-46.789906E+0	20.189118E-9	-46.688110E+0
-231.37248E-3	19.667635E-9	-46.988152E+0	20.187180E-9	-46.213467E+0
-223.52934E-3	19.674657E-9	-45.651653E+0	20.187134E-9	-46.057232E+0
-215.68620E-3	19.678318E-9	-46.012829E+0	20.191180E-9	-46.591942E+0
-207.84307E-3	19.682766E-9	-46.281231E+0	20.197385E-9	-46.182236E+0
-199.99993E-3	19.695122E-9	-46.138458E+0	20.195989E-9	-45.632423E+0
-192.15679E-3	19.705501E-9	-44.960968E+0	20.198129E-9	-46.137421E+0
-184.31365E-3	19.707164E-9	-44.713268E+0	20.197676E-9	-46.348892E+0
-176.47052E-3	19.716335E-9	-45.212631E+0	20.202387E-9	-45.615383E+0
-168.62738E-3	19.720350E-9	-44.729694E+0	20.207754E-9	-44.296238E+0
-160.78424E-3	19.726977E-9	-44.657593E+0	20.206500E-9	-44.868473E+0
-152.94111E-3	19.730164E-9	-44.770298E+0	20.209539E-9	-44.963295E+0
-145.09797E-3	19.736234E-9	-44.417057E+0	20.210843E-9	-44.780666E+0
-137.25483E-3	19.739572E-9	-44.177017E+0	20.213593E-9	-44.970078E+0
-129.41170E-3	19.741414E-9	-44.446991E+0	20.218060E-9	-44.795689E+0
-121.56856E-3	19.750212E-9	-44.568588E+0	20.218922E-9	-43.868271E+0
-113.72542E-3	19.755348E-9	-43.013752E+0	20.222723E-9	-43.829666E+0
-105.88229E-3	19.761959E-9	-42.540283E+0	20.221977E-9	-43.943707E+0
-98.039150E-3	19.766626E-9	-44.324860E+0	20.225967E-9	-44.192986E+0
-90.196013E-3	19.774124E-9	-43.993267E+0	20.228857E-9	-43.043243E+0
-82.352877E-3	19.779209E-9	-42.385593E+0	20.228624E-9	-42.779190E+0
-74.509740E-3	19.783531E-9	-42.366055E+0	20.231678E-9	-43.037094E+0
-66.666603E-3	19.789276E-9	-42.776604E+0	20.230967E-9	-42.537201E+0
-58.823466E-3	19.796342E-9	-42.689999E+0	20.230091E-9	-41.882519E+0
-50.980330E-3	19.803750E-9	-42.228268E+0	20.236087E-9	-42.880905E+0
