Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:17:17	
User		
Date		
X (m)	4.74282E-6	
Y (m)	-1.38073E-6	
Z (m)	-10.7538E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:16:48	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-294.11763E-3	104.02698E-9	-34.583275E+0	106.92306E-9	-37.948296E+0
-286.27449E-3	104.08452E-9	-36.136795E+0	106.94055E-9	-36.690575E+0
-278.43136E-3	104.13361E-9	-35.762039E+0	106.92800E-9	-35.700897E+0
-270.58822E-3	104.18675E-9	-35.086800E+0	106.93609E-9	-36.320164E+0
-262.74508E-3	104.20659E-9	-35.770691E+0	106.93490E-9	-37.185524E+0
-254.90195E-3	104.26161E-9	-35.219311E+0	106.94825E-9	-36.273376E+0
-247.05875E-3	104.29446E-9	-36.697697E+0	106.94114E-9	-34.634346E+0
-239.21561E-3	104.33548E-9	-33.245476E+0	106.92882E-9	-36.796944E+0
-231.37248E-3	104.37519E-9	-36.614891E+0	106.94468E-9	-35.664619E+0
-223.52934E-3	104.42986E-9	-34.360760E+0	106.94993E-9	-36.557880E+0
-215.68620E-3	104.47200E-9	-36.121552E+0	106.95892E-9	-34.703674E+0
-207.84307E-3	104.50327E-9	-32.836201E+0	106.95342E-9	-36.513554E+0
-199.99993E-3	104.54558E-9	-35.818569E+0	106.98124E-9	-34.941738E+0
-192.15679E-3	104.58026E-9	-34.585114E+0	106.97372E-9	-35.682171E+0
-184.31365E-3	104.64226E-9	-33.811672E+0	106.98723E-9	-35.915958E+0
-176.47052E-3	104.65929E-9	-34.229935E+0	106.98021E-9	-35.265850E+0
-168.62738E-3	104.70789E-9	-34.459259E+0	107.00676E-9	-35.030972E+0
-160.78424E-3	104.73787E-9	-34.735004E+0	107.00796E-9	-34.454296E+0
-152.94111E-3	104.79312E-9	-32.588135E+0	107.00789E-9	-36.361908E+0
-145.09797E-3	104.81634E-9	-35.290535E+0	107.00667E-9	-33.881569E+0
-137.25483E-3	104.85805E-9	-33.204697E+0	107.01171E-9	-35.011349E+0
-129.41170E-3	104.88226E-9	-35.253078E+0	107.03673E-9	-33.939831E+0
-121.56856E-3	104.91679E-9	-32.150463E+0	107.02812E-9	-35.994789E+0
-113.72542E-3	104.94955E-9	-35.719742E+0	107.04079E-9	-33.271511E+0
-105.88229E-3	104.97044E-9	-32.458611E+0	107.03294E-9	-33.884796E+0
-98.039150E-3	105.01414E-9	-33.222248E+0	107.05199E-9	-34.007847E+0
